Record_ID,Year,Month,village_name,problem_type,severity,affected_families,ngo_name,ngo_work
F9_REC00025,2021,Sep,"Hubli, Karnataka",Dengue Outbreak | TB Burden,Low,136,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00026,2018,Apr,"Patna, Bihar",Malaria Outbreak | TB Burden | ASHA Worker Shortage,Medium,146,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00027,2021,Sep,"Patna, Bihar",Dengue Outbreak | TB Burden | Low ANC Coverage,Low,166,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00028,2019,Feb,"Madurai, Tamil Nadu",Malaria Outbreak | Low ANC Coverage,High,85,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00029,2021,Mar,"Vadodara, Gujarat",Low ANC Coverage,Medium,59,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00030,2017,Aug,"Mumbai, Maharashtra",Dengue Outbreak | TB Burden | Low ANC Coverage,High,116,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00031,2017,Apr,"Lucknow, Uttar Pradesh",Malaria Outbreak | ASHA Worker Shortage,Low,132,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00032,2020,Sep,"Gaya, Bihar",Malaria Outbreak,High,157,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00033,2020,Jun,"Gaya, Bihar",Dengue Outbreak | TB Burden | Low Immunization,Medium,128,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00034,2018,May,"Mysuru, Karnataka",Malaria Outbreak | Low ANC Coverage | Low Institutional Deliveries,High,106,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00035,2017,Apr,"Pune, Maharashtra",Dengue Outbreak | TB Burden,Medium,143,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00036,2017,Sep,"Hubli, Karnataka",Malaria Outbreak | Dengue Outbreak,High,181,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00037,2020,Jun,"Vadodara, Gujarat",Malaria Outbreak | Dengue Outbreak,Low,207,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00038,2017,Aug,"Kolkata, West Bengal",Malaria Outbreak | TB Burden | Low ANC Coverage | ASHA Worker Shortage,Low,139,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00039,2017,Apr,"Madurai, Tamil Nadu",Malaria Outbreak | Dengue Outbreak | TB Burden,Low,156,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00040,2020,Jul,"Mysuru, Karnataka",General Health Monitoring,High,79,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00041,2017,Mar,"Madurai, Tamil Nadu",Malaria Outbreak | Dengue Outbreak | TB Burden,High,155,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00042,2021,Apr,"Mysuru, Karnataka",Malaria Outbreak | ASHA Worker Shortage,Low,113,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00043,2020,Apr,"Surat, Gujarat",Malaria Outbreak,Medium,86,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00044,2021,Apr,"Nagpur, Maharashtra",Malaria Outbreak | TB Burden | ASHA Worker Shortage,Low,155,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00045,2018,May,"Agra, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | TB Burden | Low Immunization,Low,191,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00046,2019,Feb,"Patna, Bihar",Dengue Outbreak,Medium,125,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00047,2019,Apr,"Chennai, Tamil Nadu",Malaria Outbreak | Dengue Outbreak,Medium,161,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00048,2017,Apr,"Howrah, West Bengal",Low Institutional Deliveries,Low,47,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00049,2018,May,"Surat, Gujarat",Malaria Outbreak | Low ANC Coverage,Low,150,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00050,2018,Sep,"Ahmedabad, Gujarat",Malaria Outbreak,High,104,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00051,2017,May,"Mysuru, Karnataka",Malaria Outbreak | Dengue Outbreak,High,200,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00052,2021,Mar,"Surat, Gujarat",General Health Monitoring,Low,71,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00053,2017,Jan,"Bengaluru, Karnataka",Malaria Outbreak | Dengue Outbreak | TB Burden | Low ANC Coverage | ASHA Worker Shortage,High,208,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00054,2018,Jul,"Vadodara, Gujarat",General Health Monitoring,High,71,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00055,2020,Jun,"Patna, Bihar",Malaria Outbreak | Dengue Outbreak,High,146,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00056,2017,Jan,"Siliguri, West Bengal",TB Burden | Low Institutional Deliveries,Medium,104,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00057,2018,Sep,"Surat, Gujarat",Malaria Outbreak,Medium,86,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00058,2019,Jan,"Muzaffarpur, Bihar",Malaria Outbreak | Dengue Outbreak | TB Burden,High,172,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00059,2018,Mar,"Vadodara, Gujarat",Dengue Outbreak | ASHA Worker Shortage,High,78,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00060,2021,Feb,"Muzaffarpur, Bihar",Dengue Outbreak | TB Burden,High,113,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00061,2019,Jun,"Hubli, Karnataka",Dengue Outbreak | ASHA Worker Shortage,Low,140,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00062,2017,Jul,"Howrah, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden | Low Institutional Deliveries,High,218,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00063,2021,Apr,"Gaya, Bihar",Malaria Outbreak,Medium,111,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00064,2017,Sep,"Bengaluru, Karnataka",Malaria Outbreak | ASHA Worker Shortage,Low,128,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00065,2021,Aug,"Muzaffarpur, Bihar",Malaria Outbreak | Dengue Outbreak | Low Immunization | Low Institutional Deliveries,Medium,168,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00066,2021,Feb,"Ahmedabad, Gujarat",Malaria Outbreak | TB Burden | ASHA Worker Shortage,Low,166,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00067,2019,Aug,"Vadodara, Gujarat",Malaria Outbreak | Dengue Outbreak | TB Burden,High,198,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00068,2021,Feb,"Pune, Maharashtra",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,217,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00069,2021,Jan,"Gaya, Bihar",Malaria Outbreak | Dengue Outbreak | TB Burden | ASHA Worker Shortage,Low,182,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00070,2019,Jun,"Siliguri, West Bengal",TB Burden | Low Institutional Deliveries,Medium,92,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00071,2021,Apr,"Howrah, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,224,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00072,2018,May,"Vadodara, Gujarat",Low ANC Coverage,Medium,47,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00073,2021,Aug,"Kolkata, West Bengal",Malaria Outbreak | Low Institutional Deliveries,High,80,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00074,2021,Aug,"Patna, Bihar",Malaria Outbreak | Dengue Outbreak | ASHA Worker Shortage,High,189,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00075,2019,Mar,"Mysuru, Karnataka",Dengue Outbreak | TB Burden,Low,93,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00076,2018,May,"Howrah, West Bengal",Dengue Outbreak | TB Burden | ASHA Worker Shortage,Medium,123,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00077,2019,Mar,"Muzaffarpur, Bihar",Malaria Outbreak | Dengue Outbreak | TB Burden,Low,246,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00078,2019,Jun,"Pune, Maharashtra",Malaria Outbreak | Dengue Outbreak | TB Burden | Low Immunization,Low,208,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00079,2018,May,"Surat, Gujarat",Malaria Outbreak | Dengue Outbreak,Medium,120,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00080,2020,Jan,"Muzaffarpur, Bihar",Dengue Outbreak | TB Burden,High,147,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00081,2020,Sep,"Coimbatore, Tamil Nadu",Malaria Outbreak | Dengue Outbreak,Low,190,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00082,2021,Jun,"Patna, Bihar",TB Burden,Low,116,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00083,2017,Aug,"Patna, Bihar",General Health Monitoring,High,53,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00084,2020,May,"Nagpur, Maharashtra",Dengue Outbreak | TB Burden | Low ANC Coverage | Low Institutional Deliveries,Low,144,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00085,2017,Jun,"Hubli, Karnataka",Dengue Outbreak | Low Immunization | Low Institutional Deliveries,Low,121,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00086,2021,Apr,"Mysuru, Karnataka",Malaria Outbreak | Dengue Outbreak | Low Institutional Deliveries,High,124,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00087,2019,Jun,"Lucknow, Uttar Pradesh",Low Immunization,Low,50,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00088,2017,Jan,"Lucknow, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,184,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00089,2020,Apr,"Nagpur, Maharashtra",Malaria Outbreak | TB Burden,High,167,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00090,2020,Mar,"Gaya, Bihar",Malaria Outbreak | TB Burden | Low ANC Coverage | Low Institutional Deliveries,High,81,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00091,2019,Jun,"Mysuru, Karnataka",Malaria Outbreak | Dengue Outbreak | TB Burden,High,216,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00092,2017,Aug,"Mysuru, Karnataka",Dengue Outbreak | TB Burden | Low Institutional Deliveries,High,184,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00093,2017,Feb,"Madurai, Tamil Nadu",Malaria Outbreak | Dengue Outbreak | TB Burden,High,240,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00094,2020,Aug,"Kolkata, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,161,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00095,2020,Mar,"Surat, Gujarat",Dengue Outbreak | ASHA Worker Shortage,Low,72,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00096,2021,Feb,"Howrah, West Bengal",Dengue Outbreak | TB Burden | Low ANC Coverage,Low,97,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00097,2019,Sep,"Lucknow, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | Low Immunization | Low ANC Coverage,High,149,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00098,2021,Sep,"Nagpur, Maharashtra",Malaria Outbreak | TB Burden,High,119,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00099,2020,May,"Ahmedabad, Gujarat",Malaria Outbreak | Dengue Outbreak | TB Burden | ASHA Worker Shortage,High,187,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00100,2020,May,"Hubli, Karnataka",Low ANC Coverage,High,85,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00101,2017,Sep,"Ahmedabad, Gujarat",Malaria Outbreak | TB Burden,Medium,179,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00102,2020,Jun,"Pune, Maharashtra",Malaria Outbreak,Low,124,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00103,2021,Jun,"Agra, Uttar Pradesh",Dengue Outbreak | Low Institutional Deliveries | ASHA Worker Shortage,Low,97,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00104,2020,Sep,"Bengaluru, Karnataka",TB Burden,Medium,122,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00105,2017,May,"Pune, Maharashtra",Malaria Outbreak | TB Burden,Medium,196,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00106,2021,Mar,"Chennai, Tamil Nadu",Dengue Outbreak,High,100,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00107,2020,Jun,"Pune, Maharashtra",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,158,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00108,2017,Apr,"Surat, Gujarat",Malaria Outbreak | Dengue Outbreak,Medium,162,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00109,2017,Jan,"Hubli, Karnataka",Malaria Outbreak,High,93,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00110,2021,May,"Ahmedabad, Gujarat",Malaria Outbreak | Dengue Outbreak | TB Burden,High,177,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00111,2018,Feb,"Vadodara, Gujarat",TB Burden | Low Immunization | ASHA Worker Shortage,Low,56,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00112,2019,Jul,"Gaya, Bihar",Malaria Outbreak,Low,138,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00113,2017,Mar,"Hubli, Karnataka",Malaria Outbreak,Medium,123,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00114,2021,Jul,"Hubli, Karnataka",TB Burden | ASHA Worker Shortage,High,96,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00115,2017,Jan,"Hubli, Karnataka",Malaria Outbreak | Dengue Outbreak,Medium,149,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00116,2017,Mar,"Howrah, West Bengal",Dengue Outbreak,Low,111,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00117,2021,Jun,"Mysuru, Karnataka",Malaria Outbreak,High,96,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00118,2021,May,"Pune, Maharashtra",Malaria Outbreak | Dengue Outbreak,High,164,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00119,2019,Jul,"Chennai, Tamil Nadu",Malaria Outbreak | TB Burden,High,120,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00120,2018,May,"Kolkata, West Bengal",TB Burden | Low ANC Coverage,High,119,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00121,2018,Aug,"Varanasi, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak,Medium,192,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00122,2021,Apr,"Howrah, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden,Low,224,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00123,2018,Feb,"Howrah, West Bengal",Malaria Outbreak | Dengue Outbreak | ASHA Worker Shortage,Medium,127,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00124,2021,Feb,"Muzaffarpur, Bihar",TB Burden | Low Institutional Deliveries,Low,148,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00125,2018,Jun,"Muzaffarpur, Bihar",TB Burden,Medium,84,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00126,2018,May,"Lucknow, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,222,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00127,2020,Jan,"Madurai, Tamil Nadu",Dengue Outbreak | TB Burden | Low ANC Coverage,Low,125,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00128,2019,Jul,"Bengaluru, Karnataka",General Health Monitoring,Medium,57,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00129,2017,Jun,"Siliguri, West Bengal",Low ANC Coverage,High,66,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00130,2018,Jan,"Lucknow, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | Low ANC Coverage,Medium,192,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00131,2021,Aug,"Vadodara, Gujarat",Malaria Outbreak | Dengue Outbreak | Low Institutional Deliveries,High,106,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00132,2021,Sep,"Agra, Uttar Pradesh",TB Burden,High,121,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00133,2019,Jul,"Madurai, Tamil Nadu",General Health Monitoring,Medium,61,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00134,2017,Jun,"Agra, Uttar Pradesh",Malaria Outbreak | Low Institutional Deliveries,Medium,108,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00135,2019,May,"Howrah, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,198,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00136,2021,Jan,"Muzaffarpur, Bihar",Malaria Outbreak | Low ANC Coverage,Low,107,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00137,2020,Mar,"Madurai, Tamil Nadu",Malaria Outbreak | Dengue Outbreak,Low,184,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00138,2019,Jan,"Coimbatore, Tamil Nadu",Malaria Outbreak | TB Burden | Low Immunization,High,152,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00139,2021,Feb,"Kolkata, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden,High,192,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00140,2019,Mar,"Coimbatore, Tamil Nadu",Dengue Outbreak | TB Burden | Low Immunization | Low ANC Coverage | ASHA Worker Shortage,Low,128,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00141,2018,Jan,"Nagpur, Maharashtra",ASHA Worker Shortage,Medium,36,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00142,2019,May,"Chennai, Tamil Nadu",Dengue Outbreak,Low,108,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00143,2019,Apr,"Siliguri, West Bengal",Malaria Outbreak | Dengue Outbreak | Low Institutional Deliveries,Low,154,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00144,2018,Aug,"Lucknow, Uttar Pradesh",Malaria Outbreak,High,110,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00145,2021,Apr,"Patna, Bihar",Malaria Outbreak | Dengue Outbreak,Low,147,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00146,2021,May,"Muzaffarpur, Bihar",Malaria Outbreak | Dengue Outbreak | Low Institutional Deliveries,Medium,180,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00147,2021,Sep,"Mysuru, Karnataka",Dengue Outbreak,High,138,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00148,2020,Jul,"Lucknow, Uttar Pradesh",Dengue Outbreak,Medium,90,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00149,2021,Jul,"Vadodara, Gujarat",Malaria Outbreak | Dengue Outbreak | ASHA Worker Shortage,Medium,160,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00150,2020,Mar,"Mumbai, Maharashtra",Dengue Outbreak | TB Burden,Low,150,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00151,2020,Jan,"Surat, Gujarat",Malaria Outbreak | TB Burden,Medium,163,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00152,2020,Sep,"Gaya, Bihar",Malaria Outbreak | TB Burden,High,190,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00153,2017,Aug,"Hubli, Karnataka",Malaria Outbreak | TB Burden,Medium,134,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00154,2019,Jan,"Ahmedabad, Gujarat",Malaria Outbreak | Dengue Outbreak,Medium,105,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00155,2018,Jul,"Bengaluru, Karnataka",Dengue Outbreak | ASHA Worker Shortage,Medium,109,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00156,2019,May,"Gaya, Bihar",Malaria Outbreak | Dengue Outbreak,Low,174,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00157,2021,Jul,"Pune, Maharashtra",TB Burden | Low ANC Coverage,Medium,85,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00158,2019,May,"Surat, Gujarat",Malaria Outbreak | TB Burden | Low ANC Coverage,Low,170,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00159,2020,Jan,"Howrah, West Bengal",Malaria Outbreak | Dengue Outbreak | TB Burden,High,224,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00160,2021,Apr,"Lucknow, Uttar Pradesh",TB Burden | ASHA Worker Shortage,Low,102,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00161,2018,Mar,"Varanasi, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | TB Burden,Medium,170,HMIS,"Health data reporting, facility monitoring, program evaluation"
